#Alive { 9.99 { https://www.netflix.com/title/81240831 { TV-MA  { Korean Movies { Horror Movies { Critically-acclaimed Movies 
#AnneFrank - Parallel Stories { 9.99 { https://www.netflix.com/title/81264660 { TV-14  { Documentaries { Historical Documentaries { Social & Cultural Documentaries 
#FollowFriday { 9.99 { https://www.netflix.com/title/81519787 { TV-MA  { Suspenseful Movies 
#FriendButMarried 2 { 9.99 { https://www.netflix.com/title/81260637 { TV-G  { Romantic Dramas { Emotional Movies { Movies based on real life 
#FriendButMarried { 9.99 { https://www.netflix.com/title/81260630 { TV-G  { Romantic Dramas { Movies based on real life 
#Rucker50 { 9.99 { https://www.netflix.com/title/80147908 { TV-PG  { Historical Documentaries { Sports Documentaries { Social & Cultural Documentaries { Sports Movies 
#Selfie 69 { 9.99 { https://www.netflix.com/title/81092766 { TV-MA  { Comedies { Romantic Comedies { Romantic Dramas { Romantic Movies 
#Selfie { 9.99 { https://www.netflix.com/title/81092768 { TV-MA  { Teen Comedies { Teen Movies 
#blackAF { 9.99 { https://www.netflix.com/title/81056700 { TV-MA  { TV Shows { TV Comedies { Sitcoms 
#realityhigh { 9.99 { https://www.netflix.com/title/80125979 { TV-14  { Teen Comedies { Teen Movies { Witty Movies 
'76 { 9.99 { https://www.netflix.com/title/81412227 { TV-PG  { Critically-acclaimed Movies { Emotional Movies { War Movies 
(Un)Well { 9.99 { https://www.netflix.com/title/81044208 { TV-MA  { Reality TV 
100 Days My Prince { 9.99 { https://www.netflix.com/title/81267722 { TV-14  { TV Shows { TV Dramas 
100 Humans { 9.99 { https://www.netflix.com/title/80215997 { TV-14  { Documentaries { Science & Nature Documentaries { Social & Cultural Documentaries { TV Documentaries 
100 Meters { 9.99 { https://www.netflix.com/title/80141173 { TV-MA  { Sports Movies { Movies based on real life 
100 Things to do Before High School { 9.99 { https://www.netflix.com/title/81215856 { TV-Y  { Kids' TV 
100% Halal { 9.99 { https://www.netflix.com/title/81362739 { TV-14  { Quirky Movies 
1000 Miles from Christmas { 9.99 { https://www.netflix.com/title/81219821 { TV-MA  { Comedies { Romantic Comedies { Romantic Movies { Christmas Films, Romantic 
11M: Terror in Madrid { 9.99 { https://www.netflix.com/title/81568624 { TV-14  { Documentaries { Historical Documentaries { Emotional Movies 
122 { 9.99 { https://www.netflix.com/title/81252528 { TV-MA  { Horror Movies 
13 Reasons Why { 9.99 { https://www.netflix.com/title/80117470 { TV-MA  { TV Shows { TV Dramas { TV Mysteries { Teen TV Shows 
137 Shots { 9.99 { https://www.netflix.com/title/80172819 { TV-MA  { Documentaries { Social & Cultural Documentaries 
13TH { 9.99 { https://www.netflix.com/title/80091741 { TV-MA  { Documentaries { Social & Cultural Documentaries { Critically-acclaimed Movies 
14 Peaks: Nothing Is Impossible { 9.99 { https://www.netflix.com/title/81464765 { TV-MA  { Action & Adventure { Adventures { Documentaries { Biographical Documentaries { Sports Documentaries { Sports Movies 
15 August { 9.99 { https://www.netflix.com/title/81033429 { TV-14  { Romantic Comedies { Romantic Dramas { Independent Movies { Romantic Movies 
18 Presents { 9.99 { https://www.netflix.com/title/81261846 { TV-MA  { Independent Movies { Emotional Movies 
1898: Our Last Men in the Philippines { 9.99 { https://www.netflix.com/title/80121844 { R  { Period Pieces { Movies based on real life { War Movies 
1922 { 9.99 { https://www.netflix.com/title/80135164 { TV-MA  { Dramas { Period Pieces { Thrillers { Psychological Thrillers { Critically-acclaimed Movies 
1983 { 9.99 { https://www.netflix.com/title/80205593 { TV-MA  { TV Mysteries 
1994 { 9.99 { https://www.netflix.com/title/80991872 { TV-MA  { Documentaries { Biographical Documentaries { Crime TV Shows { TV Documentaries 
1BR { 9.99 { https://www.netflix.com/title/81306212 { TV-MA  { Horror Movies { Independent Movies { Thrillers { Critically-acclaimed Movies { Suspenseful Movies 
2 Alone in Paris { 9.99 { https://www.netflix.com/title/80188765 { TV-MA  { Imaginative Movies 
2 Hearts { 9.99 { https://www.netflix.com/title/81435805 { PG-13  { Dramas { Romantic Dramas { Faith & Spirituality { Romantic Movies { Emotional Movies { Movies based on real life 
2 States { 9.99 { https://www.netflix.com/title/70303426 { TV-PG  { Romantic Comedies { Romantic Dramas { Romantic Movies { Emotional Movies 
2 Weeks in Lagos { 9.99 { https://www.netflix.com/title/81435742 { TV-PG  { Dramas { Romantic Dramas { Romantic Movies { Romantic Favorites { Critically-acclaimed Movies { Emotional Movies 
21 Again { 9.99 { https://www.netflix.com/title/81044408 { TV-MA  { British TV Shows { Reality TV 
22 July { 9.99 { https://www.netflix.com/title/80210932 { R  { Dramas { Thrillers { Cerebral Movies { Critically-acclaimed Movies { Gritty Movies { Movies based on real life 
26 Years { 9.99 { https://www.netflix.com/title/80198771 { TV-MA  { Korean Movies { Thrillers 
27 Steps of May { 9.99 { https://www.netflix.com/title/81497301 { TV-MA  { Art House Movies 
3 Idiots { 9.99 { https://www.netflix.com/title/70121522 { PG-13  { Comedies { Dramas { Critically-acclaimed Movies { Emotional Movies 
